species_list,Site Name,Longitude,Latitude,Month,Year,total_tolerant_species,total_sensitive_species,total_resident_species,total_migrant_species,total_unique_species,total_bird_count
"['Barred Rail', 'Black-crowned Night Heron', 'Black-naped Oriole', 'Brown-breasted Kingfisher', 'Chestnut Munia', 'Collared Kingfisher', 'Eurasian Moorhen', 'Crested Myna', 'Eurasian Tree Sparrow', 'Philippine Jungle Crow', 'Lesser Coucal', 'Little Egret', 'Long-tailed Shrike', 'Scaly-breasted Munia', 'Philippine Pied-Fantail', 'Rock Pigeon', 'Rose-ringed Parakeet', 'Striated Grassbird', 'White-browed Crake', 'White-breasted Woodswallow', 'Yellow Bittern', 'Yellow-vented Bulbul', 'Zebra Dove']","Vista Real Classica, Quezon City",121.101761,14.672202,7,2020,21,2,23,0,23,172
"['Black-crowned Night Heron', 'Black-naped Oriole', 'Brown Shrike', 'Chestnut Munia', 'Cinnamon Bittern', 'Collared Kingfisher', 'Common Kingfisher', 'Coppersmith Barbet', 'Crested Myna', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Gray Wagtail', 'Little Egret', 'Long-tailed Shrike', 'Scaly-breasted Munia', 'Pacific Swallow', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Pied Triller', 'Rock Pigeon', 'Spotted Dove', 'Striated Grassbird', 'Little Heron', 'White-breasted Woodswallow', 'Whiskered Tern', 'Yellow-vented Bulbul', 'Zebra Dove']","Vista Real Classica, Quezon City",121.101761,14.672202,10,2020,24,3,23,4,27,210
"['Black-crowned Night Heron', 'Black-naped Oriole', 'Brown-breasted Kingfisher', 'Brown Shrike', 'Collared Kingfisher', 'Common Kingfisher', 'Crested Myna', 'Eurasian Tree Sparrow', 'Pacific Swift', 'Gray Heron', 'Great Egret', 'Gray Wagtail', 'Philippine Jungle Crow', 'Little Egret', 'Long-tailed Shrike', 'Scaly-breasted Munia', 'Pacific Swallow', 'Philippine Pied-Fantail', 'Pink-necked Green-Pigeon', 'Pygmy Flowerpecker', 'Rock Pigeon', 'Rose-ringed Parakeet', 'Spotted Dove', 'Striated Grassbird', 'White-breasted Waterhen', 'White-breasted Woodswallow', 'Whiskered Tern', 'Yellow-vented Bulbul', 'Zebra Dove']","Vista Real Classica, Quezon City",121.101761,14.672202,11,2020,24,5,22,7,29,302
"['Pied Triller', 'Zebra Dove']","JP Rizal St. Bgy Nangka, marikina City",121.1088445,14.6711213,10,2020,2,0,2,0,2,4
"['Eurasian Tree Sparrow', 'Osprey', 'Yellow-vented Bulbul', 'Zebra Dove']","(14.316, 121.11)",121.1102212,14.3155501,2,2020,3,1,3,1,4,11
"['Black-naped Oriole', 'Collared Kingfisher', 'Crested Myna', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Garden Sunbird', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Yellow-vented Bulbul', 'Zebra Dove']","Annadels Subd Road, Parang, Marikina City",121.1171576,14.661888,5,2020,10,0,10,0,10,58
"['Blue Rock-Thrush', 'Eurasian Tree Sparrow', 'Zebra Dove']","Delfi Marketing, Marikina City",121.1172194,14.6619677,10,2020,2,1,2,1,3,8
"['Black-naped Oriole', 'Philippine Jungle Crow']",Jersey St. Marikina City,121.1189038,14.6444536,7,2020,2,0,2,0,2,6
"['Blue-tailed Bee-eater', 'Coppersmith Barbet', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Scaly-breasted Munia', 'Garden Sunbird', 'Yellow-vented Bulbul', 'Zebra Dove']",PNRC Cmpd. Barangay Parang,121.1197287,14.6625344,3,2020,7,1,7,1,8,51
"['Barred Rail', 'Black-crowned Night Heron', 'Black-naped Oriole', 'Brown Shrike', 'Blue-tailed Bee-eater', 'Coppersmith Barbet', 'Crested Myna', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Golden-headed Cisticola', 'Gray-rumped Swiftlet', 'Little Egret', 'Scaly-breasted Munia', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Red-keeled Flowerpecker', 'Rock Pigeon', 'Spotted Dove', 'Striated Grassbird', 'Little Heron', 'White-breasted Woodswallow', 'Yellow-vented Bulbul', 'Zebra Dove']",PNRC Cmpd. Barangay Parang,121.1197287,14.6625344,4,2020,21,2,21,2,23,150
"['Black-crowned Night Heron', 'Black-naped Oriole', 'Brown Shrike', 'Blue-tailed Bee-eater', 'Chestnut Munia', 'Collared Kingfisher', 'Coppersmith Barbet', 'Crested Myna', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Philippine Jungle Crow', 'Little Egret', 'Garden Sunbird', 'Pacific Swallow', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Pied Triller', 'Red-keeled Flowerpecker', 'Rock Pigeon', 'Spotted Dove', 'Striated Grassbird', 'White-breasted Waterhen', 'White-eared Brown-Dove', 'Yellow-vented Bulbul', 'Zebra Dove']",PNRC Cmpd. Barangay Parang,121.1197287,14.6625344,5,2020,22,3,23,2,25,227
"['Barred Rail', 'Black-crowned Night Heron', 'Black-naped Oriole', 'Blue-tailed Bee-eater', 'Collared Kingfisher', 'Coppersmith Barbet', 'Crested Myna', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Golden-headed Cisticola', 'Scaly-breasted Munia', 'Garden Sunbird', 'Philippine Pied-Fantail', 'Red-keeled Flowerpecker', 'Rock Pigeon', 'Spotted Dove', 'Striated Grassbird', 'White-breasted Waterhen', 'Yellow-vented Bulbul']",PNRC Cmpd. Barangay Parang,121.1197287,14.6625344,6,2020,18,1,18,1,19,94
"['Black-crowned Night Heron', 'Black-naped Oriole', 'Collared Kingfisher', 'Crested Myna', 'Eurasian Tree Sparrow', 'Philippine Jungle Crow', 'Scaly-breasted Munia', 'Philippine Pied-Fantail', 'Yellow-vented Bulbul']",PNRC Cmpd. Barangay Parang,121.1197287,14.6625344,7,2020,9,0,9,0,9,37
"['Barred Rail', 'Collared Kingfisher', 'Crested Myna', 'Eurasian Tree Sparrow', 'Golden-headed Cisticola', 'Philippine Jungle Crow', 'Philippine Pied-Fantail', 'Pied Triller', 'Red-keeled Flowerpecker', 'Rock Pigeon', 'White-breasted Woodswallow', 'Yellow-vented Bulbul']",PNRC Cmpd. Barangay Parang,121.1197287,14.6625344,8,2020,12,0,12,0,12,32
"['Brown Shrike', 'Collared Kingfisher', 'Golden-bellied Gerygone', 'Philippine Jungle Crow', 'Lowland White-eye', 'Scaly-breasted Munia', 'Rock Pigeon', 'Spotted Dove', 'White-breasted Woodswallow', 'Yellow-vented Bulbul']",PNRC Cmpd. Barangay Parang,121.1197287,14.6625344,9,2020,9,1,9,1,10,39
"['Black-crowned Night Heron', 'Brown Shrike', 'Chestnut Munia', 'Collared Kingfisher', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Gray Wagtail', 'Medium Egret', 'Philippine Jungle Crow', 'Little Egret', 'Scaly-breasted Munia', 'Garden Sunbird', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Red-keeled Flowerpecker', 'Striated Grassbird', 'White-breasted Waterhen', 'White-breasted Woodswallow', 'Yellow-vented Bulbul', 'Zebra Dove']",PNRC Cmpd. Barangay Parang,121.1197287,14.6625344,10,2020,17,3,17,3,20,68
"['Black-crowned Night Heron', 'Brown-breasted Kingfisher', 'Brown Shrike', 'Crested Myna', 'Eurasian Tree Sparrow', 'Philippine Jungle Crow', 'Philippine Pied-Fantail', 'Spotted Dove', 'Yellow-vented Bulbul']",PNRC Cmpd. Barangay Parang,121.1197287,14.6625344,11,2020,8,1,8,1,9,33
['Barred Rail'],"Wilshire Street, Cainta PH-Rizal (14.5881,121.1203)",121.120349,14.588106,3,2020,1,0,1,0,1,2
"['Barred Rail', 'Striated Grassbird', 'Yellow-vented Bulbul']","Westwood Avenue, Cainta PH-Rizal (14.5881,121.1211)",121.1211,14.588098,2,2020,3,0,3,0,3,9
"['Brown Shrike', 'Coleto', 'Coppersmith Barbet', 'Narcissus Flycatcher', 'Scaly-breasted Munia', 'Garden Sunbird', 'Philippine Bulbul', 'Philippine Pied-Fantail', 'Philippine Green-Pigeon', 'Pygmy Swiftlet', 'Rufous-crowned Bee-eater', 'White-bellied Munia', 'Yellow-vented Bulbul', 'Zebra Dove']","Herrera Street, Cainta, Calabarzon, PH (14.589, 121.125)",121.1252098,14.589036,11,2020,11,3,12,2,14,75
"['Brown Shrike', 'Crested Myna', 'Eurasian Tree Sparrow', 'Garden Sunbird', 'Philippine Pied-Fantail', 'Red-keeled Flowerpecker', 'Yellow-vented Bulbul', 'Zebra Dove']","SSS Village, Marikina",121.1253357,14.6375158,10,2020,7,1,7,1,8,22
['Narcissus Flycatcher'],"Herrera Street, Brookside Hills Subdivision, Antipolo",121.1270957,14.5892579,10,2020,0,1,0,1,1,5
"['Barred Rail', 'Black-naped Oriole', 'Brown-breasted Kingfisher', 'Chestnut Munia', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Philippine Jungle Crow', 'Garden Sunbird', 'Pacific Swallow', 'Philippine Pied-Fantail', 'Red-keeled Flowerpecker', 'Rock Pigeon', 'White-breasted Woodswallow', 'Yellow-vented Bulbul', 'Zebra Dove']","Bgy Fortune, Marikina City",121.1318376,14.6554175,8,2020,15,0,15,0,15,77
['Brahminy Kite'],"Diamond Street, Antipolo, Calabarzon, PH (14.607, 121.132)",121.132054,14.6071057,4,2020,1,0,1,0,1,1
"['Barred Rail', 'Philippine Coucal', 'Philippine Magpie-Robin', 'Philippine Pied-Fantail', 'Striated Grassbird', 'White-breasted Waterhen', 'Yellow-vented Bulbul']","77 Diamond Street, Antipolo, Calabarzon, PH (14.607, 121.132)",121.132054,14.6071057,5,2020,7,0,7,0,7,9
"['Coppersmith Barbet', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Garden Sunbird', 'Philippine Magpie-Robin', 'Philippine Pied-Fantail', 'Red-keeled Flowerpecker', 'Rock Pigeon', 'Yellow-vented Bulbul', 'Zebra Dove']","Diamond Street, Antipolo, Calabarzon, PH (14.607, 121.132)",121.132054,14.6071057,5,2020,10,0,10,0,10,50
"['Black-naped Oriole', 'Brown-breasted Kingfisher', 'Coppersmith Barbet', 'Eurasian Tree Sparrow', 'Gray-rumped Swiftlet', 'Philippine Pied-Fantail', 'Red-keeled Flowerpecker', 'Yellow-vented Bulbul', 'Zebra Dove']","77 Diamond Street, Antipolo, Calabarzon, PH (14.607, 121.132)",121.132054,14.6071057,7,2020,9,0,9,0,9,22
"['Collared Kingfisher', 'Eurasian Tree Sparrow', 'Gray-rumped Swiftlet', 'Philippine Jungle Crow', 'Philippine Pied-Fantail', 'Yellow-vented Bulbul']","77 Diamond Street, Antipolo, Calabarzon, PH (14.607, 121.132)",121.132054,14.6071057,9,2020,6,0,6,0,6,20
['Philippine Nightjar'],"Diamond Street, Antipolo, Calabarzon, PH (14.607, 121.132)",121.132054,14.6071057,9,2020,0,1,1,0,1,1
"['Brown Shrike', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Gray Wagtail', 'Gray-rumped Swiftlet', 'Philippine Jungle Crow', 'Lowland White-eye', 'Philippine Cuckoo-Dove', 'Philippine Hawk-Cuckoo', 'Philippine Pied-Fantail', 'Rock Pigeon', 'Spotted Dove', 'Yellow-vented Bulbul']","77 Diamond Street, Antipolo, Calabarzon, PH (14.607, 121.132)",121.132054,14.6071057,11,2020,9,4,11,2,13,35
"['Barred Rail', 'Collared Kingfisher', 'Golden-headed Cisticola', 'Gray-rumped Swiftlet', 'Philippine Coucal', 'Rock Pigeon', 'White-breasted Waterhen', 'Yellow-vented Bulbul', 'Zebra Dove']","Teremil Subdivision, Antipolo, Calabarzon, PH (14.607, 121.132)",121.1322042,14.609685,5,2020,9,0,9,0,9,26
"['Barred Rail', 'Black-naped Oriole', 'Collared Kingfisher', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Golden-headed Cisticola', 'Gray-rumped Swiftlet', 'Garden Sunbird', 'Philippine Coucal', 'Philippine Magpie-Robin', 'Philippine Pied-Fantail', 'Red-keeled Flowerpecker', 'Rock Pigeon', 'Striated Grassbird', 'White-breasted Waterhen', 'Yellow-vented Bulbul', 'Zebra Dove']","Teremil Subdivision, Antipolo, Calabarzon, PH (14.607, 121.132)",121.1322042,14.609685,6,2020,17,0,17,0,17,87
"['Black-naped Oriole', 'Eurasian Tree Sparrow', 'Philippine Pied-Fantail', 'Yellow-vented Bulbul']","corner Apple Street, Cainta, Calabarzon, PH (14.596, 121.133)",121.1325025,14.5960569,8,2020,4,0,4,0,4,11
"['Barred Rail', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Lowland White-eye', 'Garden Sunbird', 'Philippine Pygmy Woodpecker', 'Red-keeled Flowerpecker']","Monpert Hills, San Isidro, Taytay",121.1367492,14.5750587,2,2020,7,0,7,0,7,14
"['Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Philippine Pied-Fantail', 'Red-keeled Flowerpecker', 'Yellow-vented Bulbul', 'Zebra Dove']","Monpert Hills, San Isidro, Taytay",121.1367492,14.5750587,5,2020,6,0,6,0,6,9
"['Collared Kingfisher', 'Golden-bellied Gerygone', 'Lowland White-eye', 'Philippine Pygmy Woodpecker', 'Red-keeled Flowerpecker']","Monpert Hills, San Isidro, Taytay",121.1367492,14.5750587,8,2020,5,0,5,0,5,7
"['Collared Kingfisher', 'Philippine Jungle Crow', 'Philippine Magpie-Robin', 'White-breasted Woodswallow', 'Yellow-vented Bulbul']","Valley Golf and Country Club, Antipolo",121.141423,14.6042554,6,2020,5,0,5,0,5,14
"['Barred Rail', 'Black-naped Oriole', 'Brown-breasted Kingfisher', 'Collared Kingfisher', 'Golden-bellied Gerygone', 'Gray-rumped Swiftlet', 'Long-tailed Shrike', 'Scaly-breasted Munia', 'Garden Sunbird', 'Spotted Dove', 'Striated Grassbird', 'Yellow-vented Bulbul', 'Zebra Dove']","Valley Golf and Country Club, Antipolo",121.141423,14.6042554,7,2020,13,0,13,0,13,34
"['Arctic Warbler', 'Ashy Minivet', 'Brown Shrike', 'Sunda Brush Cuckoo', 'Gray-backed Tailorbird', 'Mangrove Blue Flycatcher', 'Narcissus Flycatcher', 'Philippine Bulbul', 'Philippine Pied-Fantail', 'Yellow-vented Bulbul']","Valley Golf and Country Club, Antipolo",121.141423,14.6042554,10,2020,4,6,6,4,10,38
['Philippine Scops-Owl'],Faith Academy,121.1419487,14.5933227,1,2020,0,1,1,0,1,1
['Philippine Scops-Owl'],Faith Academy,121.1419648,14.5933175,1,2020,0,1,1,0,1,1
"['Blue-tailed Bee-eater', 'Collared Kingfisher', 'Gray-rumped Swiftlet', 'Garden Sunbird', 'White-breasted Woodswallow']",Faith Academy,121.1419648,14.5933175,4,2020,4,1,4,1,5,11
"['Black-crowned Night Heron', 'Black-winged Stilt', 'Brown Shrike', 'Common Kingfisher', 'Common Sandpiper', 'Medium Egret', 'Little Egret', 'Garden Sunbird', 'Purple Heron', 'Philippine Swamphen', 'Striated Grassbird', 'Tawny Grassbird', 'White-browed Crake', 'White-breasted Woodswallow', 'Whiskered Tern', 'Yellow Bittern', 'Zebra Dove']",Angono Lake Shore Park,121.143682,14.5192461,3,2020,11,6,12,5,17,98
"['Ashy Minivet', 'Barred Rail', 'Barn Swallow', 'Black-naped Oriole', 'Brown Shrike', 'Sunda Brush Cuckoo', 'Collared Kingfisher', 'Common Kingfisher', 'Common Sandpiper', 'Coppersmith Barbet', 'Crested Myna', 'Elegant Tit', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Gray-rumped Swiftlet', 'Gray-streaked Flycatcher', 'Philippine Jungle Crow', 'Little Egret', 'Long-tailed Shrike', 'Lowland White-eye', 'Scaly-breasted Munia', 'Garden Sunbird', 'Orange-bellied Flowerpecker', 'Pacific Swallow', 'Philippine Cuckoo-Dove', 'Philippine Bulbul', 'Philippine Coucal', 'Philippine Hanging-Parrot', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Pied Triller', 'Purple-throated Sunbird', 'Pygmy Flowerpecker', 'Red Collared-Dove', 'Red-keeled Flowerpecker', 'Rock Pigeon', 'Spotted Dove', 'Striated Grassbird', 'Tawny Grassbird', 'Buzzing Flowerpecker', 'White-bellied Munia', 'White-breasted Waterhen', 'White-breasted Woodswallow', 'White-eared Brown-Dove', 'Yellow Bittern', 'Yellow-vented Bulbul', 'Zebra Dove']","Victoria Valley - Valley Golf, Antipolo",121.1461893,14.6007306,1,2020,36,11,41,6,47,702
"['Arctic Warbler', 'Ashy Minivet', 'Balicassiao', 'Barn Swallow', 'Black-naped Oriole', 'Brown-headed Thrush', 'Brown Shrike', 'Blue Rock-Thrush', 'Eastern Cattle-Egret', 'Collared Kingfisher', 'Common Kingfisher', 'Coppersmith Barbet', 'Elegant Tit', 'Asian Emerald Dove', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Gray Wagtail', 'Guaiabero', 'Gray-rumped Swiftlet', 'Gray-streaked Flycatcher', 'Philippine Jungle Crow', 'Little Egret', 'Long-tailed Shrike', 'Lowland White-eye', 'Scaly-breasted Munia', 'Garden Sunbird', 'Orange-bellied Flowerpecker', 'Pacific Swallow', 'Philippine Cuckoo-Dove', 'Philippine Bulbul', 'Philippine Coucal', 'Philippine Hanging-Parrot', 'Philippine Magpie-Robin', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Pied Triller', 'Pygmy Flowerpecker', 'Red Collared-Dove', 'Red-keeled Flowerpecker', 'Rock Pigeon', 'Rufous-crowned Bee-eater', 'Spotted Buttonquail', 'Spotted Dove', 'Striated Grassbird', 'Tawny Grassbird', 'White-bellied Munia', 'White-breasted Woodswallow', 'Yellow Bittern', 'Yellow-vented Bulbul', 'Zebra Dove']","Victoria Valley - Valley Golf, Antipolo",121.1461893,14.6007306,2,2020,36,14,41,9,50,607
"['Ashy Minivet', 'Asian Koel', 'Barred Rail', 'Barn Swallow', 'Black-naped Oriole', 'Brown-breasted Kingfisher', 'Brown-headed Thrush', 'Brown Shrike', 'Blue-tailed Bee-eater', 'Blue Rock-Thrush', 'Eastern Cattle-Egret', 'Collared Kingfisher', 'Common Kingfisher', 'Eurasian Moorhen', 'Common Sandpiper', 'Coppersmith Barbet', 'Crested Myna', 'Elegant Tit', 'Asian Emerald Dove', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Gray Wagtail', 'Gray-rumped Swiftlet', 'Gray-streaked Flycatcher', 'Philippine Jungle Crow', 'Little Egret', 'Lowland White-eye', 'Scaly-breasted Munia', 'Garden Sunbird', 'Pacific Swallow', 'Peregrine Falcon', 'Philippine Cuckoo-Dove', 'Philippine Bulbul', 'Philippine Coucal', 'Philippine Hanging-Parrot', 'Philippine Magpie-Robin', 'Philippine Nightjar', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Pied Bushchat', 'Pied Triller', 'Pygmy Flowerpecker', 'Red Collared-Dove', 'Red-keeled Flowerpecker', 'Rock Pigeon', 'Rufous-crowned Bee-eater', 'Spotted Dove', 'Striated Grassbird', 'Stripe-sided Rhabdornis', 'Tawny Grassbird', 'White-bellied Munia', 'White-breasted Waterhen', 'White-breasted Woodswallow', 'Yellow Bittern', 'Yellow-vented Bulbul', 'Zebra Dove']","Victoria Valley - Valley Golf, Antipolo",121.1461893,14.6007306,3,2020,43,13,45,11,56,924
"['Asian Koel', 'Barred Rail', 'Black-naped Oriole', 'Brown-breasted Kingfisher', 'Brown Shrike', 'Blue-tailed Bee-eater', 'Collared Kingfisher', 'Coppersmith Barbet', 'Elegant Tit', 'Asian Emerald Dove', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Gray Wagtail', 'Gray-streaked Flycatcher', 'Philippine Jungle Crow', 'Little Egret', 'Long-tailed Shrike', 'Lowland White-eye', 'Mangrove Blue Flycatcher', 'Scaly-breasted Munia', 'Garden Sunbird', 'Pacific Swallow', 'Philippine Cuckoo-Dove', 'Philippine Bulbul', 'Philippine Coucal', 'Philippine Hanging-Parrot', 'Philippine Magpie-Robin', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Pied Bushchat', 'Pied Triller', 'Pygmy Flowerpecker', 'Red Collared-Dove', 'Red-keeled Flowerpecker', 'Rock Pigeon', 'Spotted Dove', 'Striated Grassbird', 'Tawny Grassbird', 'Western Hooded Pitta', 'White-bellied Munia', 'White-breasted Woodswallow', 'White-eared Brown-Dove', 'Yellow-vented Bulbul', 'Zebra Dove']","Victoria Valley - Valley Golf, Antipolo",121.1461893,14.6007306,4,2020,35,9,39,5,44,1519
"['Asian Koel', 'Barred Rail', 'Black-naped Oriole', 'Brown Shrike', 'Blue-tailed Bee-eater', 'Collared Kingfisher', 'Coppersmith Barbet', 'Elegant Tit', 'Asian Emerald Dove', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Guaiabero', 'Gray-backed Tailorbird', 'Gray-rumped Swiftlet', 'Philippine Jungle Crow', 'Little Egret', 'Lowland White-eye', 'Scaly-breasted Munia', 'Garden Sunbird', 'Pacific Swallow', 'Philippine Bulbul', 'Philippine Coucal', 'Philippine Hanging-Parrot', 'Philippine Magpie-Robin', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Pied Triller', 'Pygmy Flowerpecker', 'Red Collared-Dove', 'Red-keeled Flowerpecker', 'Rock Pigeon', 'Rufous-crowned Bee-eater', 'Slaty-legged Crake', 'Spotted Dove', 'Striated Grassbird', 'Stripe-sided Rhabdornis', 'Tawny Grassbird', 'Western Hooded Pitta', 'White-bellied Munia', 'White-breasted Waterhen', 'White-breasted Woodswallow', 'Yellow-vented Bulbul', 'Zebra Dove']","Victoria Valley - Valley Golf, Antipolo",121.1461893,14.6007306,5,2020,36,7,39,4,43,966
"['Asian Koel', 'Barred Rail', 'Black-naped Oriole', 'Collared Kingfisher', 'Coppersmith Barbet', 'Crested Myna', 'Elegant Tit', 'Asian Emerald Dove', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Guaiabero', 'Gray-backed Tailorbird', 'Gray-rumped Swiftlet', 'Philippine Jungle Crow', 'Little Egret', 'Lowland White-eye', 'Mangrove Blue Flycatcher', 'Scaly-breasted Munia', 'Garden Sunbird', 'Pacific Swallow', 'Philippine Cuckoo-Dove', 'Philippine Hawk-Cuckoo', 'Philippine Bulbul', 'Philippine Coucal', 'Philippine Hawk-Eagle', 'Philippine Hanging-Parrot', 'Philippine Magpie-Robin', 'Philippine Nightjar', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Pied Triller', 'Pygmy Flowerpecker', 'Red Collared-Dove', 'Red-keeled Flowerpecker', 'Rock Pigeon', 'Rufous-crowned Bee-eater', 'Spotted Buttonquail', 'Spotted Dove', 'Striated Grassbird', 'Tawny Grassbird', 'Western Hooded Pitta', 'White-breasted Waterhen', 'White-breasted Woodswallow', 'White-eared Brown-Dove', 'Yellow-vented Bulbul', 'Zebra Dove']","Victoria Valley - Valley Golf, Antipolo",121.1461893,14.6007306,6,2020,36,10,45,1,46,1230
"['Asian Koel', 'Barred Rail', 'Black-naped Monarch', 'Black-naped Oriole', 'Brown-breasted Kingfisher', 'Sunda Brush Cuckoo', 'Collared Kingfisher', 'Coppersmith Barbet', 'Crested Myna', 'Elegant Tit', 'Asian Emerald Dove', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Golden-headed Cisticola', 'Gray-backed Tailorbird', 'Gray-rumped Swiftlet', 'Philippine Jungle Crow', 'Little Egret', 'Lowland White-eye', 'Mangrove Blue Flycatcher', 'Scaly-breasted Munia', 'Garden Sunbird', 'Philippine Cuckoo-Dove', 'Philippine Bulbul', 'Philippine Coucal', 'Philippine Hawk-Eagle', 'Philippine Hanging-Parrot', 'Philippine Magpie-Robin', 'Philippine Nightjar', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Pied Triller', 'Pygmy Flowerpecker', 'Philippine Pitta', 'Red Collared-Dove', 'Red-keeled Flowerpecker', 'Rock Pigeon', 'Rufous-crowned Bee-eater', 'Spotted Dove', 'Stripe-sided Rhabdornis', 'Tawny Grassbird', 'Western Hooded Pitta', 'White-bellied Munia', 'White-breasted Waterhen', 'White-breasted Woodswallow', 'White-eared Brown-Dove', 'Yellow-vented Bulbul', 'Zebra Dove']","Victoria Valley - Valley Golf, Antipolo",121.1461893,14.6007306,7,2020,37,11,47,1,48,1098
"['Barred Rail', 'Barn Swallow', 'Black-naped Monarch', 'Black-naped Oriole', 'Sunda Brush Cuckoo', 'Blue-tailed Bee-eater', 'Collared Kingfisher', 'Coppersmith Barbet', 'Elegant Tit', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Golden-headed Cisticola', 'Gray-backed Tailorbird', 'Gray-rumped Swiftlet', 'Philippine Jungle Crow', 'Lowland White-eye', 'Mangrove Blue Flycatcher', 'Scaly-breasted Munia', 'Garden Sunbird', 'Pacific Swallow', 'Philippine Cuckoo-Dove', 'Philippine Bulbul', 'Philippine Coucal', 'Philippine Hawk-Eagle', 'Philippine Magpie-Robin', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Pied Triller', 'Pygmy Flowerpecker', 'Red Collared-Dove', 'Red-keeled Flowerpecker', 'Rock Pigeon', 'Rufous-crowned Bee-eater', 'Spotted Dove', 'Stripe-sided Rhabdornis', 'Tawny Grassbird', 'Western Hooded Pitta', 'White-bellied Munia', 'White-breasted Waterhen', 'White-breasted Woodswallow', 'White-eared Brown-Dove', 'Yellow-vented Bulbul', 'Zebra Dove']","Victoria Valley - Valley Golf, Antipolo",121.1461893,14.6007306,8,2020,34,9,40,3,43,471
"['Barred Rail', 'Black-naped Oriole', 'Brown Shrike', 'Collared Kingfisher', 'Coppersmith Barbet', 'Elegant Tit', 'Asian Emerald Dove', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Golden-headed Cisticola', 'Gray-rumped Swiftlet', 'Philippine Jungle Crow', 'Lowland White-eye', 'Scaly-breasted Munia', 'Philippine Bulbul', 'Philippine Coucal', 'Philippine Magpie-Robin', 'Philippine Nightjar', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Pied Triller', 'Pygmy Flowerpecker', 'Red-keeled Flowerpecker', 'Rufous-crowned Bee-eater', 'Spotted Dove', 'Tawny Grassbird', 'White-bellied Munia', 'White-breasted Woodswallow', 'White-eared Brown-Dove', 'Yellow-vented Bulbul', 'Zebra Dove']","Victoria Valley - Valley Golf, Antipolo",121.1461893,14.6007306,9,2020,27,4,30,1,31,152
"['Black-naped Oriole', 'Brown Shrike', 'Collared Kingfisher', 'Asian Emerald Dove', 'Golden-bellied Gerygone', 'Gray Wagtail', 'Gray-backed Tailorbird', 'Little Egret', 'Mangrove Blue Flycatcher', 'Narcissus Flycatcher', 'Philippine Pied-Fantail', 'Pied Triller', 'White-breasted Waterhen', 'Yellow-vented Bulbul']","Victoria Valley - Valley Golf, Antipolo",121.1461893,14.6007306,10,2020,9,5,11,3,14,21
